"Ramo" "Pólizas Nuevas" "Pólizas Renovadas" "Cantidad de Asegurados" "Inventario Real" "Inventario Presupuesto" "Inventario Cumplimiento (%)" "Participación Primas Real (%)" "Participación Primas Presupuesto (%)" "Primas Cobradas Netas de Devolución Nueva" "Primas Cobradas Netas de Devolución Renovada" "Primas Cobradas Netas de Devolución Real" "fecha" "cuentas_esp" "centro"
"129" "RESPONSABILIDAD CIVIL DE VEHICULOS" 54 43 620 68 41 29.129057796672 94.5501758018509 11.4170467946678 11299874726.6829 29722581547.685 349839078.262448 2019-05-09 "Cuenta 5" "Centro 4"
"130" "AUTOMOVIL CASCO FLOTA" 77 81 2309 17 63 178.59772676602 50.2011928940192 29.9135945504531 41119187534.7868 250325212.25512 13128629524.7264 2019-05-10 "Cuenta 2" "Centro 3"
"131" "AUTOMOVIL" 189 36 2049 8 37 54.2615099810064 19.6217500139028 55.0558518618345 6977664912.11951 3508242999.66916 36205259198.3229 2019-05-11 "Cuenta 3" "Centro 5"
"132" "RESPONSABILIDAD CIVIL DE VEHICULOS" 118 54 3986 189 59 136.905238730833 0.480593694373965 10.5931419180706 14048275153.6183 37153840786.7774 39804873499.088 2019-05-12 "Cuenta 3" "Centro 1"
"133" "AUTOMOVIL" 120 27 646 153 109 78.1840282958001 19.2367041949183 38.1395970936865 33205564762.4657 31104158470.4071 42387003614.5672 2019-05-13 "Cuenta 3" "Centro 1"
"134" "AUTOMOVIL" 65 81 1077 266 162 97.9253277182579 26.7829551361501 71.7051304876804 16887930687.5169 36992952961.009 36249201092.869 2019-05-14 "Cuenta 5" "Centro 1"
"135" "AUTOMOVIL CASCO FLOTA" 21 94 1352 120 91 95.938344951719 21.1528317071497 90.1100003393367 47885231289.5469 35062866436.7832 9290145838.16752 2019-05-15 "Cuenta 2" "Centro 4"
"136" "AUTOMOVIL" 182 18 743 136 124 140.780739951879 14.8988101864234 86.3239733502269 6558198737.91188 35871773504.1864 27528278529.644 2019-05-16 "Cuenta 4" "Centro 1"
"137" "AUTOMOVIL" 19 73 1431 39 173 153.596387943253 79.7166623640805 16.8537552002817 8192724932.4508 26637880143.2438 10371450311.5043 2019-05-17 "Cuenta 5" "Centro 3"
"138" "AUTOMOVIL CASCO FLOTA" 21 62 2674 294 96 77.2962194867432 35.6575938174501 48.5161730321124 45585966506.0416 3627795155.62579 11152494093.4032 2019-05-18 "Cuenta 1" "Centro 1"
"139" "AUTOMOVIL CASCO FLOTA" 46 96 1835 96 2 22.8047949261963 45.9658997831866 77.4806836387143 1018093619.49563 31865967682.0971 13102749863.1738 2019-05-19 "Cuenta 4" "Centro 1"
"140" "RESPONSABILIDAD CIVIL DE VEHICULOS" 37 97 3718 176 162 150.895799789578 92.1399776358157 55.7501242728904 7384493842.25532 3437054075.76635 20664695510.6407 2019-05-20 "Cuenta 2" "Centro 4"
"141" "AUTOMOVIL CASCO FLOTA" 167 94 93 284 183 188.857435062528 33.7562301196158 13.9694998506457 46652131923.4744 28702700056.6013 40070288348.943 2019-05-21 "Cuenta 3" "Centro 5"
"142" "AUTOMOVIL" 98 48 3003 7 111 61.5415962878615 86.0455984482542 22.798047051765 43189974862.6165 47690385591.7044 46098928689.0253 2019-05-22 "Cuenta 4" "Centro 4"
"143" "RESPONSABILIDAD CIVIL DE VEHICULOS" 167 93 1061 110 68 116.210505273193 90.3361321194097 16.4359329501167 30632641538.9776 44456270115.9157 5263755645.13728 2019-05-23 "Cuenta 2" "Centro 2"
"144" "RESPONSABILIDAD CIVIL DE VEHICULOS" 171 21 329 243 10 152.136526163667 92.9478106554598 23.3704526210204 16138349229.0042 40208891581.2783 13891239149.9616 2019-05-24 "Cuenta 3" "Centro 5"
"145" "AUTOMOVIL" 82 20 2381 84 134 164.005279680714 40.161448949948 59.2679395573214 47526770923.2867 22898206033.2783 4364604782.31311 2019-05-25 "Cuenta 2" "Centro 5"
"146" "RESPONSABILIDAD CIVIL DE VEHICULOS" 80 68 791 108 114 176.794664375484 71.9499921891838 34.8263475578278 29607063147.705 20108541392.2556 19020032987.4642 2019-05-26 "Cuenta 3" "Centro 2"
"147" "RESPONSABILIDAD CIVIL DE VEHICULOS" 71 27 3531 217 97 82.4690070934594 31.067049712874 72.4708169000223 22311035473.831 46689881640.4864 36670431762.4681 2019-05-27 "Cuenta 4" "Centro 1"
"148" "AUTOMOVIL CASCO FLOTA" 55 14 2946 199 59 181.495762662962 24.0157069871202 35.2086995029822 28734138153.9591 40301723429.0019 27095892082.4341 2019-05-28 "Cuenta 3" "Centro 3"
"149" "AUTOMOVIL CASCO FLOTA" 168 70 622 58 80 42.0695757959038 16.118965880014 23.0101881083101 23749209230.3 21659479686.0591 25996115326.4157 2019-05-29 "Cuenta 4" "Centro 5"
"150" "AUTOMOVIL CASCO FLOTA" 46 75 2517 293 158 125.077087152749 71.3615832151845 7.93936846312135 25231945759.1511 27208254381.5486 2962833689.52572 2019-05-30 "Cuenta 3" "Centro 4"
"151" "AUTOMOVIL" 182 85 795 15 58 16.2937620189041 14.1554995207116 50.7358264410868 49078858480.7888 29957510170.0611 5608746863.43595 2019-05-31 "Cuenta 4" "Centro 1"
"152" "RESPONSABILIDAD CIVIL DE VEHICULOS" 89 98 3654 247 27 89.3749434966594 21.3699266780168 77.3452169960365 41690479067.6199 28992338944.2265 46347086585.5925 2019-06-01 "Cuenta 3" "Centro 1"
"153" "AUTOMOVIL" 2 62 1865 165 111 161.474920995533 57.8809929080307 6.92066822666675 35734476440.1205 28007619595.1551 12204896856.565 2019-06-02 "Cuenta 3" "Centro 4"
"154" "AUTOMOVIL CASCO FLOTA" 7 62 1038 63 139 73.7313143443316 19.5519430562854 69.8988553136587 42438480560.6678 26136222993.955 40139607607.8527 2019-06-03 "Cuenta 2" "Centro 1"
"155" "AUTOMOVIL CASCO FLOTA" 170 7 3555 9 98 92.780928267166 67.7904169308022 62.2007662896067 46750003681.5181 33543543983.2509 10902398382.3135 2019-06-04 "Cuenta 2" "Centro 5"
"156" "RESPONSABILIDAD CIVIL DE VEHICULOS" 154 76 1971 133 99 27.3753526154906 45.1993299648166 33.8981051230803 36237050977.0699 10680645552.9295 19405652722.3438 2019-06-05 "Cuenta 3" "Centro 3"
"157" "AUTOMOVIL CASCO FLOTA" 77 76 2903 206 61 99.0413493476808 26.0979857062921 92.6471312763169 26303743862.0813 28944536659.4009 47847806219.9429 2019-06-06 "Cuenta 4" "Centro 1"
"158" "AUTOMOVIL" 115 68 2199 271 189 65.1386310346425 37.4891729326919 22.2477049101144 46655297745.0192 3400609991.51319 4275907715.78252 2019-06-07 "Cuenta 2" "Centro 2"
"159" "RESPONSABILIDAD CIVIL DE VEHICULOS" 135 51 3063 278 18 162.571502570063 94.1792302997783 63.3321066852659 31911771360.3191 48888864472.9741 18027335568.3312 2019-06-08 "Cuenta 3" "Centro 4"
"160" "AUTOMOVIL CASCO FLOTA" 19 99 2494 93 13 199.99691164121 76.6316776163876 48.1040868209675 6730415555.64851 33872308349.2368 24910562823.0609 2019-06-09 "Cuenta 5" "Centro 5"
"161" "AUTOMOVIL CASCO FLOTA" 52 57 696 194 168 186.059821257368 54.8122572945431 69.9876630678773 20536302332.7664 6777321652.04361 6613397446.92668 2019-06-10 "Cuenta 4" "Centro 1"
"162" "AUTOMOVIL CASCO FLOTA" 127 13 3790 158 161 28.1592331826687 37.6267275772989 5.10867917910218 34871048631.6122 28298637026.4553 28713116969.4476 2019-06-11 "Cuenta 4" "Centro 5"
"163" "RESPONSABILIDAD CIVIL DE VEHICULOS" 200 95 3960 22 138 31.4712298568338 30.3109605098143 95.0990484794602 30754120566.4165 21435819752.5144 32981553394.3474 2019-06-12 "Cuenta 5" "Centro 2"
"164" "AUTOMOVIL CASCO FLOTA" 63 72 1260 268 158 27.5302384514362 14.3497228156775 84.197993716225 30226009548.6417 27036394423.3395 41026610636.618 2019-06-13 "Cuenta 4" "Centro 5"
"165" "RESPONSABILIDAD CIVIL DE VEHICULOS" 180 30 2369 30 66 175.436866562814 20.2511012786999 60.7823029626161 43863442575.0934 7380609656.6841 15177942265.2908 2019-06-14 "Cuenta 4" "Centro 3"
"166" "RESPONSABILIDAD CIVIL DE VEHICULOS" 60 40 1781 289 8 190.020816866308 48.0235602939501 33.6051824502647 47444729320.7049 48061045224.3127 38289829634.5957 2019-06-15 "Cuenta 4" "Centro 2"
"167" "AUTOMOVIL" 92 2 2070 177 171 62.2048016171902 40.5008698347956 54.9069297732785 45342580031.1379 47370127146.1323 29985026083.8866 2019-06-16 "Cuenta 2" "Centro 2"
"168" "RESPONSABILIDAD CIVIL DE VEHICULOS" 192 93 141 72 30 158.942140778527 99.2101977346465 6.7434074357152 7346580643.20683 12818233855.0687 20092481793.8358 2019-06-17 "Cuenta 4" "Centro 1"
"169" "RESPONSABILIDAD CIVIL DE VEHICULOS" 169 10 577 182 200 165.58454381302 60.3717133635655 12.8806062741205 8813390298.74653 10103902919.2179 44204234937.2059 2019-06-18 "Cuenta 3" "Centro 2"
"170" "AUTOMOVIL" 76 74 2568 190 186 77.2836964577436 8.68057033512741 28.30825955607 29760617821.0117 18120498280.0409 21308342949.4873 2019-06-19 "Cuenta 5" "Centro 2"
"171" "AUTOMOVIL CASCO FLOTA" 69 50 119 136 145 66.2778902798891 25.1109779113904 93.4882728848606 1496588415.46625 38334618054.796 44757096329.7039 2019-06-20 "Cuenta 1" "Centro 2"
"172" "RESPONSABILIDAD CIVIL DE VEHICULOS" 169 67 2367 78 188 43.0263358168304 13.1171140586957 67.2725225333124 21427869796.7529 48303285310.9762 46224974188.9536 2019-06-21 "Cuenta 4" "Centro 2"
"173" "RESPONSABILIDAD CIVIL DE VEHICULOS" 19 31 765 165 60 170.072194188833 47.523907572031 57.5341146904975 10231220314.7449 16243001993.2799 33698343113.0648 2019-06-22 "Cuenta 5" "Centro 3"
"174" "AUTOMOVIL" 55 22 1192 155 62 184.327003406361 2.48818944673985 63.6954547837377 34256218199.1525 18120660469.8673 35719588678.3302 2019-06-23 "Cuenta 3" "Centro 4"
"175" "AUTOMOVIL" 33 79 103 2 69 36.961724748835 61.5771969780326 86.0793333733454 27783566759.8993 38402606116.1421 16693599591.963 2019-06-24 "Cuenta 1" "Centro 2"
"176" "AUTOMOVIL" 198 42 1857 152 178 77.7021640911698 8.3118925569579 13.7337140506133 37689206015.7843 22144091478.5489 49389775539.7484 2019-06-25 "Cuenta 5" "Centro 1"
"177" "AUTOMOVIL" 28 35 573 127 119 149.010988511145 66.5616784011945 21.3006106670946 32516652450.4311 12023058300.8379 36029143561.6091 2019-06-26 "Cuenta 2" "Centro 4"
"178" "AUTOMOVIL CASCO FLOTA" 173 58 3644 292 152 20.8950470667332 5.7529297657311 39.5316599868238 34735612396.6165 43093973782.3792 6280130380.7646 2019-06-27 "Cuenta 3" "Centro 2"
"179" "RESPONSABILIDAD CIVIL DE VEHICULOS" 126 22 3604 121 107 119.555575028062 81.5822824835777 25.0494796549901 44667934847.53 20494340173.9001 2013613167.21886 2019-06-28 "Cuenta 5" "Centro 1"
"180" "AUTOMOVIL" 11 4 3771 63 145 133.614933863282 81.6936468007043 77.1564154885709 44388221006.3748 13684530300.0882 5039930192.28801 2019-06-29 "Cuenta 3" "Centro 1"
"181" "AUTOMOVIL" 128 19 513 118 199 120.253399200737 28.0760472873226 81.0050374828279 44607263512.4437 20505736896.3026 33453352015.9312 2019-06-30 "Cuenta 4" "Centro 3"
"182" "AUTOMOVIL CASCO FLOTA" 121 51 1017 242 88 74.9655201565474 30.5621478008106 17.2454932937399 28498983383.1787 46496949065.4767 10917125712.1488 2019-07-01 "Cuenta 1" "Centro 3"
"183" "RESPONSABILIDAD CIVIL DE VEHICULOS" 87 27 2808 121 10 179.386375192553 10.0362328346819 32.9239345854148 20543506392.2778 24596233328.3387 5421763716.73122 2019-07-02 "Cuenta 3" "Centro 5"
"184" "RESPONSABILIDAD CIVIL DE VEHICULOS" 149 19 3458 150 122 93.4321960899979 1.13305235281587 88.9381916960701 12528288573.958 46742855058.983 9715013473.76034 2019-07-03 "Cuenta 5" "Centro 1"
"185" "RESPONSABILIDAD CIVIL DE VEHICULOS" 95 39 82 133 133 70.7262895070016 44.9337658006698 84.1648746049032 36652201460.6744 21527214813.9775 48432917334.1393 2019-07-04 "Cuenta 5" "Centro 4"
"186" "AUTOMOVIL CASCO FLOTA" 162 34 3322 175 188 61.2462967634201 41.0207924200222 90.2044971007854 21130557078.8681 7302323647.30909 40155378729.105 2019-07-05 "Cuenta 5" "Centro 4"
"187" "AUTOMOVIL" 190 70 2954 18 109 69.678048370406 81.1213207198307 46.2215170729905 19454678567.1264 7297363074.03073 24859096272.8485 2019-07-06 "Cuenta 1" "Centro 3"
"188" "RESPONSABILIDAD CIVIL DE VEHICULOS" 148 79 3334 180 95 55.821630358696 19.9061002349481 57.6821423601359 49895231914.7065 12295905023.3476 10679814778.2683 2019-07-07 "Cuenta 4" "Centro 4"
"189" "AUTOMOVIL" 1 5 3816 148 161 120.30283678323 62.4345584539697 21.1328289238736 1435194036.45769 13865038298.5361 12487804179.5455 2019-07-08 "Cuenta 2" "Centro 4"
"190" "RESPONSABILIDAD CIVIL DE VEHICULOS" 78 2 479 118 62 132.991782203317 51.892275037244 60.6735041365027 21454213431.5707 36990606132.8948 28798491659.1086 2019-07-09 "Cuenta 1" "Centro 3"
"191" "RESPONSABILIDAD CIVIL DE VEHICULOS" 141 75 1461 152 86 152.728772582486 12.0171279646456 75.9349158033729 45009851548.8207 2961639640.85281 11606949346.6057 2019-07-10 "Cuenta 1" "Centro 2"
"192" "RESPONSABILIDAD CIVIL DE VEHICULOS" 136 64 423 149 36 28.2495000399649 66.9818455819041 16.8226545443758 25990778545.3834 4435333679.43019 49346338864.4159 2019-07-11 "Cuenta 4" "Centro 1"
"193" "RESPONSABILIDAD CIVIL DE VEHICULOS" 98 56 1722 158 163 179.946716036648 49.1908396361396 72.0579005312175 81667164.3406153 14996461686.6782 8104623039.25306 2019-07-12 "Cuenta 2" "Centro 5"
"194" "AUTOMOVIL" 2 44 2016 285 97 131.846931157634 39.9940030882135 68.345256941393 16142314381.4318 17482983425.7253 12691483926.028 2019-07-13 "Cuenta 1" "Centro 1"
"195" "AUTOMOVIL CASCO FLOTA" 189 30 829 101 78 111.770091438666 48.4635434811935 21.7861768789589 25532944197.7665 22760004620.0678 3541873313.95224 2019-07-14 "Cuenta 2" "Centro 3"
"196" "AUTOMOVIL" 61 39 2479 246 17 177.038860926405 79.115582886152 70.179961854592 46976751810.8711 11363122530.7472 10059066629.0373 2019-07-15 "Cuenta 4" "Centro 5"
"197" "AUTOMOVIL" 110 38 1488 285 30 48.8819981459528 88.4035110007972 5.68498193752021 5352003953.88529 5963898985.64667 43326232675.463 2019-07-16 "Cuenta 1" "Centro 3"
"198" "AUTOMOVIL CASCO FLOTA" 67 58 3617 11 17 180.388363683596 78.0708497622982 18.656079377979 4954179003.83472 44910894019.9949 32199083711.0206 2019-07-17 "Cuenta 1" "Centro 1"
"199" "AUTOMOVIL" 55 66 137 137 15 31.2319796532393 56.959379138425 64.3895793473348 17370583745.6509 10599583073.0535 12141731777.2284 2019-07-18 "Cuenta 3" "Centro 4"
"200" "AUTOMOVIL" 151 12 2746 21 167 191.49122601375 7.24019953049719 76.1686913669109 21317289001.3084 8657281775.95884 12087322305.8879 2019-07-19 "Cuenta 5" "Centro 4"
"201" "RESPONSABILIDAD CIVIL DE VEHICULOS" 87 60 250 20 132 194.154835073277 96.6108368011191 99.3665267946199 8091391611.37864 13914798013.8659 13678825157.6945 2019-07-20 "Cuenta 1" "Centro 4"
"202" "AUTOMOVIL" 88 34 2114 167 81 5.32892481423914 0.153269432485104 65.3110005659983 11861000733.9157 39561670762.4868 39643822645.3029 2019-07-21 "Cuenta 4" "Centro 1"
"203" "AUTOMOVIL" 107 12 1521 168 112 22.6729804184288 20.8646086975932 62.6523524988443 18303764716.2564 32293374976.1432 23761385690.8865 2019-07-22 "Cuenta 1" "Centro 3"
"204" "AUTOMOVIL" 15 53 1566 107 149 60.8069556299597 48.7568334443495 35.4985307902098 31171479576.733 40826983877.9233 39642075344.4545 2019-07-23 "Cuenta 4" "Centro 4"
"205" "AUTOMOVIL CASCO FLOTA" 141 78 2110 83 15 196.075682062656 89.0741614857689 63.5622842703015 7856056606.39703 48897235025.6518 8007645816.54221 2019-07-24 "Cuenta 1" "Centro 2"
"206" "RESPONSABILIDAD CIVIL DE VEHICULOS" 45 15 825 79 4 101.651698397473 72.1604614751413 60.2693072520196 19182132917.922 17786797333.9744 15960641077.254 2019-07-25 "Cuenta 4" "Centro 2"
"207" "AUTOMOVIL CASCO FLOTA" 106 21 1442 268 112 143.63911813125 24.5637013809755 48.7561998190358 28272726561.4085 13925056252.6286 45280616416.1302 2019-07-26 "Cuenta 4" "Centro 1"
"208" "AUTOMOVIL" 109 61 2671 286 78 179.92683602497 94.2167609697208 33.5872663185 12795822042.9718 33153444528.5797 42515336617.3618 2019-07-27 "Cuenta 1" "Centro 4"
"209" "AUTOMOVIL CASCO FLOTA" 58 93 418 283 71 108.385300729424 14.812120096758 28.8649582769722 33292634109.9665 21223014662.9736 15088988235.2203 2019-07-28 "Cuenta 3" "Centro 3"
"210" "RESPONSABILIDAD CIVIL DE VEHICULOS" 170 13 3443 77 32 139.81126206927 79.7314374009147 50.642709620297 30835683329.4965 24818446044.8101 18346727045.7186 2019-07-29 "Cuenta 3" "Centro 4"
"211" "AUTOMOVIL CASCO FLOTA" 193 65 1935 174 58 77.9792544431984 96.0630599875003 45.3643708024174 36075772542.9721 23642482759.8967 4929467034.52617 2019-07-30 "Cuenta 1" "Centro 3"
"212" "AUTOMOVIL CASCO FLOTA" 79 22 2202 107 15 199.213069444522 22.5564231630415 96.2899494217709 48237526474.9862 18040984903.9279 46683950640.7268 2019-07-31 "Cuenta 5" "Centro 3"
"213" "AUTOMOVIL CASCO FLOTA" 19 76 583 259 161 131.304309424013 37.6629637088627 43.8932720106095 3114376566.37281 23420002718.9217 21574227942.6195 2019-08-01 "Cuenta 1" "Centro 4"
"214" "AUTOMOVIL CASCO FLOTA" 189 16 3249 278 104 77.3119370918721 76.4605306321755 66.6779082734138 132213148.75409 29676204570.5691 32451368647.1619 2019-08-02 "Cuenta 4" "Centro 5"
"215" "RESPONSABILIDAD CIVIL DE VEHICULOS" 27 49 3686 197 168 113.107785675675 3.62466166261584 91.4397329324856 3287628258.11282 29826068575.494 4033047752.45488 2019-08-03 "Cuenta 2" "Centro 3"
"216" "AUTOMOVIL" 51 39 1857 106 3 172.020149976015 95.6679159542546 79.9575624987483 35190651705.4886 15802069928.0314 4233076958.91708 2019-08-04 "Cuenta 3" "Centro 5"
"217" "RESPONSABILIDAD CIVIL DE VEHICULOS" 6 70 1594 55 102 87.660512374714 56.9164176704362 10.2897544624284 14732043305.4119 42448431509.5469 9458366490.43485 2019-08-05 "Cuenta 1" "Centro 5"
"218" "RESPONSABILIDAD CIVIL DE VEHICULOS" 125 82 959 50 178 134.50481640175 66.9829508289695 4.61359045002609 49217200209.3867 16545710782.5205 10029039962.6829 2019-08-06 "Cuenta 3" "Centro 2"
"219" "RESPONSABILIDAD CIVIL DE VEHICULOS" 187 62 106 71 167 64.6198376547545 29.8006108496338 40.285226656124 7548919180.40812 48161742452.0664 17503136175.219 2019-08-07 "Cuenta 5" "Centro 5"
"220" "RESPONSABILIDAD CIVIL DE VEHICULOS" 98 53 946 187 142 88.2405545096844 83.3969766506925 92.7084662020206 1612790836.95263 5626487859.99045 27184991806.2799 2019-08-08 "Cuenta 4" "Centro 4"
"221" "AUTOMOVIL CASCO FLOTA" 183 51 1458 96 30 136.689086491242 42.472098977305 21.5698740445077 40958514297.381 11498196958.5642 38616226555.3139 2019-08-09 "Cuenta 1" "Centro 3"
"222" "AUTOMOVIL CASCO FLOTA" 28 40 3161 109 143 38.4727945551276 76.815995015204 51.8783673178405 21548916248.139 49763185542.5425 32708644820.3772 2019-08-10 "Cuenta 5" "Centro 5"
"223" "AUTOMOVIL" 125 6 1952 176 53 161.548419063911 33.8368840282783 23.6032529268414 22069508873.3919 14203128998.6335 48176650842.6517 2019-08-11 "Cuenta 1" "Centro 1"
"224" "AUTOMOVIL CASCO FLOTA" 180 10 978 73 139 114.406486041844 18.4747935272753 64.5864106249064 786760170.012712 9389994991.94324 21537762042.135 2019-08-12 "Cuenta 5" "Centro 4"
"225" "AUTOMOVIL" 44 67 1257 80 173 65.9429328050464 28.5662984708324 25.6704737897962 47380220063.4964 42793894023.6345 22384456603.3222 2019-08-13 "Cuenta 5" "Centro 4"
"226" "RESPONSABILIDAD CIVIL DE VEHICULOS" 11 20 1273 257 178 183.803623355925 14.0642340527847 65.7303685089573 44174392276.9092 2854142617.43426 33198999776.5049 2019-08-14 "Cuenta 3" "Centro 2"
"227" "AUTOMOVIL CASCO FLOTA" 66 53 3356 47 54 50.0109943561256 88.1716504693031 22.6531151449308 23674657696.3924 33393374318.257 22768861753.8661 2019-08-15 "Cuenta 1" "Centro 5"
"228" "AUTOMOVIL" 35 52 1476 198 39 78.7954232655466 47.780496487394 29.8585584620014 32595137588.2141 44383541098.7958 9502049733.41897 2019-08-16 "Cuenta 3" "Centro 5"
"229" "AUTOMOVIL" 59 74 3451 283 171 185.447120852768 14.8401519516483 19.2561304429546 10868655634.1127 14243030524.8126 27754745434.504 2019-08-17 "Cuenta 2" "Centro 4"
"230" "AUTOMOVIL CASCO FLOTA" 39 55 3897 145 121 143.575809616596 11.6629663622007 50.0756296794862 43924457998.9463 42555841896.683 37660622445.4008 2019-08-18 "Cuenta 3" "Centro 1"
"231" "RESPONSABILIDAD CIVIL DE VEHICULOS" 15 59 1746 133 122 121.559566212818 4.3275375617668 2.57761823013425 47394190635.5321 36231121630.4079 4926251608.41271 2019-08-19 "Cuenta 5" "Centro 3"
"232" "AUTOMOVIL CASCO FLOTA" 12 93 3532 189 83 141.176203452051 79.4738110620528 68.3272302616388 16632735391.6131 18056495953.3513 878378259.949386 2019-08-20 "Cuenta 1" "Centro 2"
"233" "AUTOMOVIL CASCO FLOTA" 3 88 2479 153 171 132.809586171061 79.7734481282532 70.9184186765924 104043923.784047 28043712978.2513 7117611891.59006 2019-08-21 "Cuenta 5" "Centro 4"
"234" "AUTOMOVIL" 101 76 831 222 66 65.3059202246368 20.4691593535244 22.0138394972309 5709135753.56826 36955872969.7019 44783466611.9888 2019-08-22 "Cuenta 4" "Centro 2"
"235" "RESPONSABILIDAD CIVIL DE VEHICULOS" 16 82 1141 297 40 198.06259283796 49.9820854980499 46.6666506137699 10792493424.3783 25576157192.6996 34512233920.3954 2019-08-23 "Cuenta 1" "Centro 2"
"236" "RESPONSABILIDAD CIVIL DE VEHICULOS" 4 26 813 116 189 191.226442577317 47.2266509197652 55.6511980947107 17680320772.3424 10823081864.5097 26584597921.4646 2019-08-24 "Cuenta 2" "Centro 5"
"237" "AUTOMOVIL" 199 61 1021 263 170 180.573788657784 92.2743460629135 6.77029290236533 17376886191.7779 38188705116.0447 28075313242.1523 2019-08-25 "Cuenta 2" "Centro 1"
"238" "AUTOMOVIL CASCO FLOTA" 81 28 2224 281 76 142.703943606466 14.6235798252746 45.0424030190334 41479359217.9194 4675828153.2675 11876846943.0506 2019-08-26 "Cuenta 3" "Centro 3"
"239" "AUTOMOVIL" 194 97 865 221 2 90.6421292107552 9.34153972193599 73.5083499690518 24925011734.0125 11954980553.1278 30879636667.6688 2019-08-27 "Cuenta 2" "Centro 2"
"240" "RESPONSABILIDAD CIVIL DE VEHICULOS" 39 79 1410 75 137 136.394760152325 75.904478598386 18.0300353560597 36146401602.3092 33237163082.2308 11711682844.907 2019-08-28 "Cuenta 1" "Centro 2"
"241" "RESPONSABILIDAD CIVIL DE VEHICULOS" 109 33 762 56 186 88.2318387273699 78.2986550359055 42.1158749843016 683395087.253302 41617871308.6992 10559630137.8682 2019-08-29 "Cuenta 3" "Centro 2"
"242" "AUTOMOVIL CASCO FLOTA" 8 39 124 30 120 184.119993029162 48.348531499505 29.9305527005345 14769884489.9423 94266887.7542019 14439952711.1091 2019-08-30 "Cuenta 3" "Centro 4"
"243" "AUTOMOVIL CASCO FLOTA" 114 15 3342 278 154 72.8913421742618 11.6315498948097 39.8868207354099 12914857454.5979 1861584023.5725 4054639558.30783 2019-08-31 "Cuenta 5" "Centro 2"
"244" "AUTOMOVIL" 194 39 3779 65 41 11.7895337752998 35.4120909236372 76.0837635491043 18004795594.6065 32609490479.8083 4880474787.20546 2019-09-01 "Cuenta 5" "Centro 4"
"245" "AUTOMOVIL CASCO FLOTA" 73 53 3571 81 54 20.0395052321255 16.0104825161397 45.7567739998922 49819491594.0985 42522584553.808 49416446534.4511 2019-09-02 "Cuenta 1" "Centro 4"
"246" "AUTOMOVIL" 200 41 581 142 82 9.61327436380088 0.272855442017317 57.9816432902589 13278136251.0286 1026235404.42437 32785699144.0058 2019-09-03 "Cuenta 2" "Centro 4"
"247" "RESPONSABILIDAD CIVIL DE VEHICULOS" 7 48 971 103 26 62.4362168367952 16.2191009381786 76.2538059614599 46507647016.5513 25055530539.2481 19664204691.0711 2019-09-04 "Cuenta 5" "Centro 2"
"248" "AUTOMOVIL CASCO FLOTA" 57 29 1749 123 188 59.942870028317 32.1354510262609 51.824068557471 30600759934.1683 11337701242.8828 12939355429.2619 2019-09-05 "Cuenta 5" "Centro 3"
"249" "AUTOMOVIL CASCO FLOTA" 61 71 463 239 122 79.2914697434753 12.6098055159673 46.723198867403 3916769206.98956 36965175019.5771 16489617188.9268 2019-09-06 "Cuenta 5" "Centro 4"
"250" "AUTOMOVIL" 12 60 3372 294 127 158.581764670089 93.8543060561642 16.06493096333 19242106797.1736 6484264181.92685 32941555290.0173 2019-09-07 "Cuenta 3" "Centro 1"
"251" "AUTOMOVIL" 0 39 1037 228 188 107.86108369939 92.6629284163937 55.4489300353453 4463559575.37889 43498656398.1511 17970089893.7881 2019-09-08 "Cuenta 1" "Centro 1"
"252" "AUTOMOVIL CASCO FLOTA" 5 22 1622 233 119 114.181548682973 76.6990800155327 29.7276960453019 44449169514.7008 9404289792.29182 21130196272.8612 2019-09-09 "Cuenta 4" "Centro 3"
"253" "AUTOMOVIL" 21 21 3279 288 95 143.831094074994 21.6094870353118 7.17326770536602 2516105154.06355 4096204915.54961 25736621406.395 2019-09-10 "Cuenta 2" "Centro 3"
"254" "AUTOMOVIL" 100 23 340 161 12 169.291186751798 17.5476350588724 15.439583407715 36643882852.5133 48106766003.184 25463802786.544 2019-09-11 "Cuenta 3" "Centro 5"
"255" "AUTOMOVIL" 147 58 3967 247 119 133.432362414896 35.5160746723413 82.8573482111096 29385693627.4096 34378692426.2531 3432415740.0988 2019-09-12 "Cuenta 5" "Centro 3"
"256" "RESPONSABILIDAD CIVIL DE VEHICULOS" 21 16 1588 36 165 136.350789526477 66.1351176910102 82.2222680319101 23264869477.1342 26343954354.5246 7254607125.65109 2019-09-13 "Cuenta 1" "Centro 1"
"257" "AUTOMOVIL" 53 9 813 161 185 66.6603556834161 65.4761843383312 43.0930858710781 7010683929.54767 12465662625.6183 16442436352.3722 2019-09-14 "Cuenta 4" "Centro 4"
"258" "AUTOMOVIL CASCO FLOTA" 163 14 1523 104 99 166.935133282095 30.5694772629067 27.0382458576933 4622011503.67036 25125095597.4683 31776338350.0278 2019-09-15 "Cuenta 4" "Centro 5"
"259" "AUTOMOVIL CASCO FLOTA" 15 22 3552 154 10 40.6630306970328 84.189411229454 56.7371664103121 24450797459.5763 41822571004.7409 19061797088.9434 2019-09-16 "Cuenta 2" "Centro 4"
