"state" "period" "claim_type" "avg_state"
"563" "BA" "prior_1_3" "Home Health Agency" 11
"564" "AM" "prior_1_3" "Hospice" 1
"565" "ZU" "prior_1_3" "Inpatient" 9
"566" "AN" "prior_1_3" "Outpatient" 178
"567" "DF" "prior_1_3" "Skilled Nursing Facility" 2
"568" "GU" "after_1_30" "Carrier" 721
"569" "LA" "after_1_30" "Durable Medical Equipment" 68
"570" "DF" "after_1_30" "Home Health Agency" 376
"571" "AR" "after_1_30" "Hospice" 105
"572" "GU" "after_1_30" "Inpatient" 1971
"573" "TR" "after_1_30" "Outpatient" 1334
"574" "FA" "after_1_30" "Skilled Nursing Facility" 3230
"575" "FA" "during" "Carrier" 1497
"576" "CO" "during" "Durable Medical Equipment" 16
"577" "AM" "during" "Home Health Agency" 0
"578" "TA" "during" "Hospice" 0
"579" "CO" "during" "Inpatient" 11054
"580" "TA" "during" "Outpatient" 0
"581" "AP" "during" "Skilled Nursing Facility" 0
"582" "AM" "prior_1_3" "Carrier" 532
"583" "AN" "prior_1_3" "Durable Medical Equipment" 6
"584" "VA" "prior_1_3" "Home Health Agency" 3
"585" "BO" "prior_1_3" "Hospice" 0
"586" "MO" "prior_1_3" "Inpatient" 14
"587" "TA" "prior_1_3" "Outpatient" 518
"588" "TA" "prior_1_3" "Skilled Nursing Facility" 2
"589" "NE" "after_1_30" "Carrier" 945
"590" "CA" "after_1_30" "Durable Medical Equipment" 79
"591" "DA" "after_1_30" "Home Health Agency" 591
"592" "DF" "after_1_30" "Hospice" 120
"593" "FA" "after_1_30" "Inpatient" 2326
"594" "GU" "after_1_30" "Outpatient" 966
"595" "BA" "after_1_30" "Skilled Nursing Facility" 3667
"596" "GU" "during" "Carrier" 1593
"597" "CA" "during" "Durable Medical Equipment" 20
"598" "CA" "during" "Home Health Agency" 0
"599" "FA" "during" "Hospice" 0
"600" "VA" "during" "Inpatient" 10926
"601" "GU" "during" "Outpatient" 0
"602" "LA" "during" "Skilled Nursing Facility" 0
"603" "FA" "prior_1_3" "Carrier" 509
"604" "LA" "prior_1_3" "Durable Medical Equipment" 6
"605" "TR" "prior_1_3" "Home Health Agency" 6
"606" "MI" "prior_1_3" "Hospice" 0
"607" "AP" "prior_1_3" "Inpatient" 6
"608" "NU" "prior_1_3" "Outpatient" 309
"609" "ZU" "prior_1_3" "Skilled Nursing Facility" 2
"610" "AR" "after_1_30" "Carrier" 829
"611" "BA" "after_1_30" "Durable Medical Equipment" 63
"612" "PO" "after_1_30" "Home Health Agency" 1009
"613" "YA" "after_1_30" "Hospice" 128
"614" "NU" "after_1_30" "Inpatient" 2423
"615" "PO" "after_1_30" "Outpatient" 903
"616" "AR" "after_1_30" "Skilled Nursing Facility" 3271
"617" "BA" "during" "Carrier" 1277
"618" "BO" "during" "Durable Medical Equipment" 11
"619" "YA" "during" "Home Health Agency" 0
"620" "FA" "during" "Hospice" 0
"621" "TR" "during" "Inpatient" 10001
"622" "BO" "during" "Outpatient" 0
"623" "TA" "during" "Skilled Nursing Facility" 0
"624" "BA" "prior_1_3" "Carrier" 535
"625" "DP" "prior_1_3" "Durable Medical Equipment" 6
"626" "SU" "prior_1_3" "Home Health Agency" 14
"627" "NE" "prior_1_3" "Hospice" 1
"628" "DP" "prior_1_3" "Inpatient" 10
"629" "CA" "prior_1_3" "Outpatient" 212
"630" "PO" "prior_1_3" "Skilled Nursing Facility" 3
"631" "TA" "after_1_30" "Carrier" 1535
"632" "CA" "after_1_30" "Durable Medical Equipment" 76
"633" "LA" "after_1_30" "Home Health Agency" 707
"634" "MI" "after_1_30" "Hospice" 116
"635" "PO" "after_1_30" "Inpatient" 2835
"636" "TA" "after_1_30" "Outpatient" 804
"637" "BO" "after_1_30" "Skilled Nursing Facility" 4512
"638" "MO" "during" "Carrier" 1828
"639" "AN" "during" "Durable Medical Equipment" 15
"640" "CO" "during" "Home Health Agency" 0
"641" "DP" "during" "Hospice" 0
"642" "GU" "during" "Inpatient" 9558
"643" "CA" "during" "Outpatient" 0
"644" "TR" "during" "Skilled Nursing Facility" 0
"645" "AM" "prior_1_3" "Carrier" 530
"646" "CA" "prior_1_3" "Durable Medical Equipment" 7
"647" "AN" "prior_1_3" "Home Health Agency" 9
"648" "BA" "prior_1_3" "Hospice" 0
"649" "BO" "prior_1_3" "Inpatient" 6
"650" "CA" "prior_1_3" "Outpatient" 124
"651" "DP" "prior_1_3" "Skilled Nursing Facility" 3
"652" "BA" "after_1_30" "Carrier" 950
"653" "YA" "after_1_30" "Durable Medical Equipment" 74
"654" "AP" "after_1_30" "Home Health Agency" 714
"655" "BA" "after_1_30" "Hospice" 169
"656" "TA" "after_1_30" "Inpatient" 2850
"657" "PO" "after_1_30" "Outpatient" 903
"658" "VA" "after_1_30" "Skilled Nursing Facility" 2378
"659" "FA" "during" "Carrier" 1285
"660" "GU" "during" "Durable Medical Equipment" 15
"661" "FA" "during" "Home Health Agency" 0
"662" "CA" "during" "Hospice" 0
"663" "CO" "during" "Inpatient" 10029
"664" "ZU" "during" "Outpatient" 0
"665" "SU" "during" "Skilled Nursing Facility" 0
"666" "PO" "prior_1_3" "Carrier" 725
"667" "MI" "prior_1_3" "Durable Medical Equipment" 6
"668" "NE" "prior_1_3" "Home Health Agency" 9
"669" "TA" "prior_1_3" "Hospice" 1
"670" "DF" "prior_1_3" "Inpatient" 8
"671" "MI" "prior_1_3" "Outpatient" 252
"672" "ME" "prior_1_3" "Skilled Nursing Facility" 1
"673" "FA" "after_1_30" "Carrier" 1557
"674" "ME" "after_1_30" "Durable Medical Equipment" 82
"675" "SU" "after_1_30" "Home Health Agency" 822
"676" "TR" "after_1_30" "Hospice" 144
"677" "ZU" "after_1_30" "Inpatient" 4675
"678" "DF" "after_1_30" "Outpatient" 634
"679" "AR" "after_1_30" "Skilled Nursing Facility" 2183
"680" "DP" "during" "Carrier" 1663
"681" "CO" "during" "Durable Medical Equipment" 14
"682" "ME" "during" "Home Health Agency" 0
"683" "AP" "during" "Hospice" 0
"684" "AM" "during" "Inpatient" 10252
"685" "LA" "during" "Outpatient" 0
"686" "ME" "during" "Skilled Nursing Facility" 0
"687" "AP" "prior_1_3" "Carrier" 771
"688" "TA" "prior_1_3" "Durable Medical Equipment" 8
"689" "AR" "prior_1_3" "Home Health Agency" 17
"690" "BA" "prior_1_3" "Hospice" 0
"691" "AR" "prior_1_3" "Inpatient" 7
"692" "CO" "prior_1_3" "Outpatient" 172
"693" "NE" "prior_1_3" "Skilled Nursing Facility" 1
"694" "MO" "after_1_30" "Carrier" 1250
"695" "TA" "after_1_30" "Durable Medical Equipment" 78
"696" "NU" "after_1_30" "Home Health Agency" 750
"697" "YA" "after_1_30" "Hospice" 83
"698" "DF" "after_1_30" "Inpatient" 2377
"699" "DP" "after_1_30" "Outpatient" 747
"700" "SU" "after_1_30" "Skilled Nursing Facility" 3983
"701" "DP" "during" "Carrier" 1617
"702" "AN" "during" "Durable Medical Equipment" 15
"703" "PO" "during" "Home Health Agency" 0
"704" "ME" "during" "Hospice" 0
"705" "PO" "during" "Inpatient" 9880
"706" "FA" "during" "Outpatient" 0
"707" "TR" "during" "Skilled Nursing Facility" 0
"708" "NU" "prior_1_3" "Carrier" 523
"709" "DF" "prior_1_3" "Durable Medical Equipment" 7
"710" "GU" "prior_1_3" "Home Health Agency" 9
"711" "NE" "prior_1_3" "Hospice" 0
"712" "YA" "prior_1_3" "Inpatient" 5
"713" "DP" "prior_1_3" "Outpatient" 105
"714" "DA" "prior_1_3" "Skilled Nursing Facility" 3
"715" "YA" "after_1_30" "Carrier" 1109
"716" "YA" "after_1_30" "Durable Medical Equipment" 87
"717" "AP" "after_1_30" "Home Health Agency" 796
"718" "NU" "after_1_30" "Hospice" 153
"719" "GU" "after_1_30" "Inpatient" 2833
"720" "NE" "after_1_30" "Outpatient" 902
"721" "CA" "after_1_30" "Skilled Nursing Facility" 3631
"722" "NU" "during" "Carrier" 1526
"723" "FA" "during" "Durable Medical Equipment" 18
"724" "DA" "during" "Home Health Agency" 0
"725" "ME" "during" "Hospice" 0
"726" "CO" "during" "Inpatient" 10091
"727" "CA" "during" "Outpatient" 0
"728" "AP" "during" "Skilled Nursing Facility" 0
"729" "AP" "prior_1_3" "Carrier" 597
"730" "NE" "prior_1_3" "Durable Medical Equipment" 7
"731" "CO" "prior_1_3" "Home Health Agency" 12
"732" "DP" "prior_1_3" "Hospice" 0
"733" "CA" "prior_1_3" "Inpatient" 11
"734" "GU" "prior_1_3" "Outpatient" 165
"735" "BA" "prior_1_3" "Skilled Nursing Facility" 2
"736" "CA" "after_1_30" "Carrier" 950
"737" "DF" "after_1_30" "Durable Medical Equipment" 99
"738" "DA" "after_1_30" "Home Health Agency" 920
"739" "BO" "after_1_30" "Hospice" 165
"740" "BA" "after_1_30" "Inpatient" 3254
"741" "VA" "after_1_30" "Outpatient" 843
"742" "YA" "after_1_30" "Skilled Nursing Facility" 2818
"743" "AR" "during" "Carrier" 1369
"744" "LA" "during" "Durable Medical Equipment" 33
"745" "AM" "during" "Home Health Agency" 0
"746" "PO" "during" "Hospice" 0
"747" "AM" "during" "Inpatient" 10318
"748" "LA" "during" "Outpatient" 0
"749" "BO" "during" "Skilled Nursing Facility" 0
"750" "NU" "prior_1_3" "Carrier" 613
"751" "AN" "prior_1_3" "Durable Medical Equipment" 9
"752" "TR" "prior_1_3" "Home Health Agency" 19
"753" "AM" "prior_1_3" "Hospice" 1
"754" "NE" "prior_1_3" "Inpatient" 9
"755" "NU" "prior_1_3" "Outpatient" 227
"756" "AM" "prior_1_3" "Skilled Nursing Facility" 3
"757" "BA" "after_1_30" "Carrier" 853
"758" "AN" "after_1_30" "Durable Medical Equipment" 76
"759" "AN" "after_1_30" "Home Health Agency" 558
"760" "SU" "after_1_30" "Hospice" 168
"761" "TA" "after_1_30" "Inpatient" 1750
"762" "DA" "after_1_30" "Outpatient" 875
"763" "TR" "after_1_30" "Skilled Nursing Facility" 2510
"764" "SU" "during" "Carrier" 1462
"765" "PO" "during" "Durable Medical Equipment" 14
"766" "TR" "during" "Home Health Agency" 0
"767" "PO" "during" "Hospice" 0
"768" "AP" "during" "Inpatient" 11189
"769" "DA" "during" "Outpatient" 0
"770" "AP" "during" "Skilled Nursing Facility" 0
"771" "DF" "prior_1_3" "Carrier" 654
"772" "TA" "prior_1_3" "Durable Medical Equipment" 9
"773" "MO" "prior_1_3" "Home Health Agency" 8
"774" "PO" "prior_1_3" "Hospice" 0
"775" "BO" "prior_1_3" "Inpatient" 4
"776" "AN" "prior_1_3" "Outpatient" 230
"777" "LA" "prior_1_3" "Skilled Nursing Facility" 1
"778" "CO" "after_1_30" "Carrier" 1163
"779" "NE" "after_1_30" "Durable Medical Equipment" 86
"780" "CA" "after_1_30" "Home Health Agency" 910
"781" "AP" "after_1_30" "Hospice" 131
"782" "AP" "after_1_30" "Inpatient" 3249
"783" "DP" "after_1_30" "Outpatient" 839
"784" "ME" "after_1_30" "Skilled Nursing Facility" 2974
"785" "FA" "during" "Carrier" 1543
"786" "GU" "during" "Durable Medical Equipment" 18
"787" "ME" "during" "Home Health Agency" 0
"788" "ZU" "during" "Hospice" 0
"789" "NE" "during" "Inpatient" 9844
"790" "MI" "during" "Outpatient" 0
"791" "DA" "during" "Skilled Nursing Facility" 0
"792" "CA" "prior_1_3" "Carrier" 571
"793" "BO" "prior_1_3" "Durable Medical Equipment" 7
"794" "TR" "prior_1_3" "Home Health Agency" 12
"795" "CO" "prior_1_3" "Hospice" 0
"796" "MI" "prior_1_3" "Inpatient" 7
"797" "DA" "prior_1_3" "Outpatient" 117
"798" "ME" "prior_1_3" "Skilled Nursing Facility" 2
"799" "NE" "after_1_30" "Carrier" 1186
"800" "ZU" "after_1_30" "Durable Medical Equipment" 82
"801" "AP" "after_1_30" "Home Health Agency" 1119
"802" "LA" "after_1_30" "Hospice" 119
"803" "AN" "after_1_30" "Inpatient" 2421
"804" "YA" "after_1_30" "Outpatient" 778
"805" "AM" "after_1_30" "Skilled Nursing Facility" 3634
"806" "DP" "during" "Carrier" 1273
"807" "AN" "during" "Durable Medical Equipment" 11
"808" "AP" "during" "Home Health Agency" 0
"809" "GU" "during" "Hospice" 0
"810" "PO" "during" "Inpatient" 9260
"811" "TR" "during" "Outpatient" 0
"812" "SU" "during" "Skilled Nursing Facility" 0
"813" "NE" "prior_1_3" "Carrier" 627
"814" "BA" "prior_1_3" "Durable Medical Equipment" 5
"815" "DF" "prior_1_3" "Home Health Agency" 17
"816" "AR" "prior_1_3" "Hospice" 0
"817" "AR" "prior_1_3" "Inpatient" 8
"818" "GU" "prior_1_3" "Outpatient" 132
"819" "BO" "prior_1_3" "Skilled Nursing Facility" 2
"820" "AN" "after_1_30" "Carrier" 1167
"821" "NE" "after_1_30" "Durable Medical Equipment" 102
"822" "DA" "after_1_30" "Home Health Agency" 905
"823" "AR" "after_1_30" "Hospice" 179
"824" "MI" "after_1_30" "Inpatient" 2977
"825" "DA" "after_1_30" "Outpatient" 863
"826" "AN" "after_1_30" "Skilled Nursing Facility" 2595
"827" "AP" "during" "Carrier" 1434
"828" "TR" "during" "Durable Medical Equipment" 20
"829" "NU" "during" "Home Health Agency" 0
"830" "BA" "during" "Hospice" 0
"831" "YA" "during" "Inpatient" 10246
"832" "DP" "during" "Outpatient" 0
"833" "VA" "during" "Skilled Nursing Facility" 0
"834" "MI" "prior_1_3" "Carrier" 555
"835" "MI" "prior_1_3" "Durable Medical Equipment" 9
"836" "VA" "prior_1_3" "Home Health Agency" 12
"837" "ME" "prior_1_3" "Hospice" 1
"838" "BA" "prior_1_3" "Inpatient" 7
"839" "CO" "prior_1_3" "Outpatient" 126
"840" "TR" "prior_1_3" "Skilled Nursing Facility" 2
"841" "BA" "after_1_30" "Carrier" 721
"842" "GU" "after_1_30" "Durable Medical Equipment" 68
"843" "NE" "after_1_30" "Home Health Agency" 376
"844" "SU" "after_1_30" "Hospice" 105
"845" "MI" "after_1_30" "Inpatient" 1971
"846" "AR" "after_1_30" "Outpatient" 1334
"847" "DF" "after_1_30" "Skilled Nursing Facility" 3230
"848" "ZU" "during" "Carrier" 1497
"849" "YA" "during" "Durable Medical Equipment" 16
"850" "SU" "during" "Home Health Agency" 0
"851" "DA" "during" "Hospice" 0
"852" "VA" "during" "Inpatient" 11054
"853" "BO" "during" "Outpatient" 0
"854" "LA" "during" "Skilled Nursing Facility" 0
"855" "VA" "prior_1_3" "Carrier" 532
"856" "TA" "prior_1_3" "Durable Medical Equipment" 6
"857" "DP" "prior_1_3" "Home Health Agency" 3
"858" "CA" "prior_1_3" "Hospice" 0
"859" "DP" "prior_1_3" "Inpatient" 14
"860" "SU" "prior_1_3" "Outpatient" 518
"861" "SU" "prior_1_3" "Skilled Nursing Facility" 2
"862" "AR" "after_1_30" "Carrier" 1174
"863" "FA" "after_1_30" "Durable Medical Equipment" 98
"864" "CO" "after_1_30" "Home Health Agency" 789
"865" "FA" "after_1_30" "Hospice" 133
"866" "CA" "after_1_30" "Inpatient" 3024
"867" "PO" "after_1_30" "Outpatient" 809
"868" "SU" "after_1_30" "Skilled Nursing Facility" 3265
"869" "NE" "during" "Carrier" 1487
"870" "AR" "during" "Durable Medical Equipment" 23
"871" "TA" "during" "Home Health Agency" 0
"872" "AM" "during" "Hospice" 0
"873" "SU" "during" "Inpatient" 10278
"874" "BO" "during" "Outpatient" 0
"875" "CO" "during" "Skilled Nursing Facility" 0
"876" "LA" "prior_1_3" "Carrier" 681
"877" "VA" "prior_1_3" "Durable Medical Equipment" 9
"878" "ZU" "prior_1_3" "Home Health Agency" 15
"879" "TR" "prior_1_3" "Hospice" 0
"880" "TA" "prior_1_3" "Inpatient" 9
"881" "DP" "prior_1_3" "Outpatient" 159
"882" "DP" "prior_1_3" "Skilled Nursing Facility" 2
"883" "YA" "after_1_30" "Carrier" 1398
"884" "MI" "after_1_30" "Durable Medical Equipment" 96
"885" "DP" "after_1_30" "Home Health Agency" 879
"886" "AR" "after_1_30" "Hospice" 175
"887" "BO" "after_1_30" "Inpatient" 4185
"888" "MO" "after_1_30" "Outpatient" 837
"889" "MO" "after_1_30" "Skilled Nursing Facility" 2979
"890" "DP" "during" "Carrier" 1596
"891" "AN" "during" "Durable Medical Equipment" 23
"892" "TR" "during" "Home Health Agency" 0
"893" "GU" "during" "Hospice" 0
"894" "MO" "during" "Inpatient" 10339
"895" "BA" "during" "Outpatient" 0
"896" "TR" "during" "Skilled Nursing Facility" 0
"897" "NE" "prior_1_3" "Carrier" 661
"898" "PO" "prior_1_3" "Durable Medical Equipment" 8
"899" "PO" "prior_1_3" "Home Health Agency" 18
"900" "AN" "prior_1_3" "Hospice" 1
"901" "NU" "prior_1_3" "Inpatient" 7
"902" "CA" "prior_1_3" "Outpatient" 140
"903" "DF" "prior_1_3" "Skilled Nursing Facility" 3
"904" "NE" "after_1_30" "Carrier" 881
"905" "DA" "after_1_30" "Durable Medical Equipment" 127
"906" "AN" "after_1_30" "Home Health Agency" 1022
"907" "TR" "after_1_30" "Hospice" 149
"908" "BA" "after_1_30" "Inpatient" 2294
"909" "AP" "after_1_30" "Outpatient" 888
"910" "CO" "after_1_30" "Skilled Nursing Facility" 3640
"911" "DP" "during" "Carrier" 1453
"912" "FA" "during" "Durable Medical Equipment" 23
"913" "AN" "during" "Home Health Agency" 0
"914" "PO" "during" "Hospice" 0
"915" "NE" "during" "Inpatient" 11598
"916" "CA" "during" "Outpatient" 0
"917" "LA" "during" "Skilled Nursing Facility" 0
"918" "DP" "prior_1_3" "Carrier" 569
"919" "MI" "prior_1_3" "Durable Medical Equipment" 9
"920" "GU" "prior_1_3" "Home Health Agency" 11
"921" "AR" "prior_1_3" "Hospice" 0
"922" "PO" "prior_1_3" "Inpatient" 6
"923" "BA" "prior_1_3" "Outpatient" 268
"924" "MO" "prior_1_3" "Skilled Nursing Facility" 1
"925" "AM" "after_1_30" "Carrier" 1109
"926" "DP" "after_1_30" "Durable Medical Equipment" 81
"927" "AP" "after_1_30" "Home Health Agency" 917
"928" "AP" "after_1_30" "Hospice" 161
"929" "NU" "after_1_30" "Inpatient" 2456
"930" "NU" "after_1_30" "Outpatient" 785
"931" "DF" "after_1_30" "Skilled Nursing Facility" 2932
"932" "MI" "during" "Carrier" 1462
"933" "ZU" "during" "Durable Medical Equipment" 16
"934" "PO" "during" "Home Health Agency" 0
"935" "NE" "during" "Hospice" 0
"936" "AP" "during" "Inpatient" 10041
"937" "GU" "during" "Outpatient" 0
"938" "LA" "during" "Skilled Nursing Facility" 0
"939" "MI" "prior_1_3" "Carrier" 571
"940" "NU" "prior_1_3" "Durable Medical Equipment" 7
"941" "BO" "prior_1_3" "Home Health Agency" 12
"942" "YA" "prior_1_3" "Hospice" 0
"943" "AP" "prior_1_3" "Inpatient" 7
"944" "BA" "prior_1_3" "Outpatient" 120
"945" "GU" "prior_1_3" "Skilled Nursing Facility" 2
"946" "TR" "after_1_30" "Carrier" 829
"947" "NU" "after_1_30" "Durable Medical Equipment" 63
"948" "VA" "after_1_30" "Home Health Agency" 1009
"949" "AR" "after_1_30" "Hospice" 128
"950" "CO" "after_1_30" "Inpatient" 2423
"951" "AM" "after_1_30" "Outpatient" 903
"952" "AR" "after_1_30" "Skilled Nursing Facility" 3271
"953" "NE" "during" "Carrier" 1277
"954" "ZU" "during" "Durable Medical Equipment" 11
"955" "ME" "during" "Home Health Agency" 0
"956" "ZU" "during" "Hospice" 0
"957" "DF" "during" "Inpatient" 10001
"958" "DF" "during" "Outpatient" 0
"959" "CA" "during" "Skilled Nursing Facility" 0
"960" "YA" "prior_1_3" "Carrier" 535
"961" "DF" "prior_1_3" "Durable Medical Equipment" 6
"962" "AR" "prior_1_3" "Home Health Agency" 14
"963" "GU" "prior_1_3" "Hospice" 1
"964" "LA" "prior_1_3" "Inpatient" 10
"965" "AP" "prior_1_3" "Outpatient" 212
"966" "YA" "prior_1_3" "Skilled Nursing Facility" 3
"967" "TA" "after_1_30" "Carrier" 904
"968" "CA" "after_1_30" "Durable Medical Equipment" 73
"969" "VA" "after_1_30" "Home Health Agency" 576
"970" "AM" "after_1_30" "Hospice" 153
"971" "LA" "after_1_30" "Inpatient" 1958
"972" "AM" "after_1_30" "Outpatient" 915
"973" "VA" "after_1_30" "Skilled Nursing Facility" 2909
"974" "PO" "during" "Carrier" 1484
"975" "CA" "during" "Durable Medical Equipment" 15
"976" "TA" "during" "Home Health Agency" 0
"977" "DF" "during" "Hospice" 0
"978" "ME" "during" "Inpatient" 11010
"979" "BO" "during" "Outpatient" 0
"980" "AN" "during" "Skilled Nursing Facility" 0
"981" "DP" "prior_1_3" "Carrier" 655
"982" "CO" "prior_1_3" "Durable Medical Equipment" 7
"983" "CO" "prior_1_3" "Home Health Agency" 7
"984" "ZU" "prior_1_3" "Hospice" 0
"985" "ZU" "prior_1_3" "Inpatient" 6
"986" "TA" "prior_1_3" "Outpatient" 188
"987" "YA" "prior_1_3" "Skilled Nursing Facility" 1
"988" "GU" "after_1_30" "Carrier" 870
"989" "DF" "after_1_30" "Durable Medical Equipment" 78
"990" "GU" "after_1_30" "Home Health Agency" 552
"991" "AM" "after_1_30" "Hospice" 171
"992" "DA" "after_1_30" "Inpatient" 2185
"993" "BA" "after_1_30" "Outpatient" 1097
"994" "CO" "after_1_30" "Skilled Nursing Facility" 3092
"995" "BO" "during" "Carrier" 1467
"996" "DP" "during" "Durable Medical Equipment" 20
"997" "VA" "during" "Home Health Agency" 0
"998" "PO" "during" "Hospice" 0
"999" "DA" "during" "Inpatient" 10350
"1000" "YA" "during" "Outpatient" 0
"1001" "CA" "during" "Skilled Nursing Facility" 0
"1002" "ME" "prior_1_3" "Carrier" 516
"1003" "ZU" "prior_1_3" "Durable Medical Equipment" 6
"1004" "FA" "prior_1_3" "Home Health Agency" 8
"1005" "CA" "prior_1_3" "Hospice" 0
"1006" "BO" "prior_1_3" "Inpatient" 6
"1007" "FA" "prior_1_3" "Outpatient" 221
"1008" "NU" "prior_1_3" "Skilled Nursing Facility" 2
"1009" "TR" "after_1_30" "Carrier" 1061
"1010" "DA" "after_1_30" "Durable Medical Equipment" 103
"1011" "BA" "after_1_30" "Home Health Agency" 786
"1012" "ZU" "after_1_30" "Hospice" 122
"1013" "AM" "after_1_30" "Inpatient" 3258
"1014" "BO" "after_1_30" "Outpatient" 949
"1015" "AR" "after_1_30" "Skilled Nursing Facility" 2369
"1016" "MO" "during" "Carrier" 1368
"1017" "DP" "during" "Durable Medical Equipment" 30
"1018" "NE" "during" "Home Health Agency" 0
"1019" "MO" "during" "Hospice" 0
"1020" "SU" "during" "Inpatient" 9691
"1021" "MI" "during" "Outpatient" 0
"1022" "BA" "during" "Skilled Nursing Facility" 0
"1023" "NU" "prior_1_3" "Carrier" 641
"1024" "DA" "prior_1_3" "Durable Medical Equipment" 8
"1025" "TR" "prior_1_3" "Home Health Agency" 10
"1026" "ZU" "prior_1_3" "Hospice" 2
"1027" "SU" "prior_1_3" "Inpatient" 12
"1028" "TR" "prior_1_3" "Outpatient" 195
"1029" "ZU" "prior_1_3" "Skilled Nursing Facility" 2
"1030" "LA" "after_1_30" "Carrier" 898
"1031" "NU" "after_1_30" "Durable Medical Equipment" 90
"1032" "TA" "after_1_30" "Home Health Agency" 423
"1033" "AM" "after_1_30" "Hospice" 94
"1034" "ZU" "after_1_30" "Inpatient" 2539
"1035" "ME" "after_1_30" "Outpatient" 844
"1036" "PO" "after_1_30" "Skilled Nursing Facility" 2864
"1037" "MI" "during" "Carrier" 1151
"1038" "CO" "during" "Durable Medical Equipment" 20
"1039" "BO" "during" "Home Health Agency" 0
"1040" "AR" "during" "Hospice" 0
"1041" "AP" "during" "Inpatient" 9781
"1042" "MO" "during" "Outpatient" 0
"1043" "LA" "during" "Skilled Nursing Facility" 0
"1044" "TR" "prior_1_3" "Carrier" 674
"1045" "ME" "prior_1_3" "Durable Medical Equipment" 10
"1046" "CA" "prior_1_3" "Home Health Agency" 9
"1047" "FA" "prior_1_3" "Hospice" 0
"1048" "AR" "prior_1_3" "Inpatient" 6
"1049" "DA" "prior_1_3" "Outpatient" 258
"1050" "MO" "prior_1_3" "Skilled Nursing Facility" 2
